"user_index","1400599997","B00000DM9M","B00000J061","B00000J08C","B00000J0A2","B00000J0E8","B00000J1QZ","B00000J1US","B00000J3H5","B00000J3HB","B00000J3II","B00000J3Q1","B00000J3Q7","B00000J3T1","B00000J3T4","B00000J434","B00000J47A","B00000J4ER","B00000J4FS","B00000J4O2","B00000J4VA","B00000J570","B00000J579","B00000JBIA","B00000JBJQ","B00000JBK6","B00000JBUI","B00000JDEI","B00000JDKT","B00000JFDW","B00000JFJA","B00000JFMW","B00000JHVP","B00000JI2C","B00000JSES","B00000JSEW","B00000JSGF","B00000JX2V","B00000JYLO","B00000K1SD","B00000K390","B00000K3RI","B00000K3RO","B00000K4KH","B00001O2YP","B00001O380","B00001OPK8","B00001OWYM","B00001P4XA","B00001P4ZH","B00001QEMF","B00001QHP5","B00001RMCY","B00001RMDH","B00001W0DI","B00001X5AZ","B00001YVG4","B00001ZT58","B00001ZUIB","B00001ZUNQ","B00001ZWRV","B00001ZWSY","B00001ZWXA","B0000206CT","B0000206CW","B0000206DP","B000021YU8","B000021YUO","B000022UHF","B000023VUI","B000023VUK","B000023VUL","B000028F42","B00002JXFH","B00002SSVY","B00002SWHH","B00003005I","B000030068","B00003006A","B00003006E","B00003006F","B00003006L","B00003006R","B00003006X","B00003006Y","B0000300CS","B0000300EC","B0000300EF","B0000300EN","B0000300GE","B0000300QN","B0000300S2","B0000304ZO","B000031KIM","B000038AB2","B000038ABH","B00003CWCI","B00003CWE8","B00003G1RG","B00003G1RJ","B00003GPVF","B00003OPEV","B00003WGP5","B00003ZDJ7","B0000488VH","B0000488VK","B00004NKHY","B00004R7OI","B00004R8U4","B00004R8VC","B00004R95J","B00004RC2D","B00004RC2E","B00004RC2G","B00004RD8M","B00004RERZ","B00004RF6K","B00004RFC0","B00004RFC4","B00004RFC5","B00004RFC6","B00004RG6G","B00004RG7J","B00004RG7N","B00004RG85","B00004RGIG","B00004RIPE","B00004RIUJ","B00004RJYB","B00004S5H5","B00004S9AK","B00004S9WQ","B00004SA30","B00004SA32","B00004SB92","B00004SB96","B00004SC3Y","B00004SCIT","B00004SCKA","B00004SD14","B00004SD15","B00004SD85","B00004SD87","B00004SD89","B00004SD9D","B00004SD9G","B00004SD9J","B00004SD9P","B00004SD9Q","B00004SP9T","B00004SPCB","B00004SPUN","B00004SPUT","B00004SSRC","B00004SSRL","B00004SSRN","B00004SSRO","B00004SSRP","B00004SSRQ","B00004STHL","B00004SV25","B00004SX3Z","B00004SY4H","B00004SYB7","B00004SYVH","B00004SZ9L","B00004T0RC","B00004T1M1","B00004T1MB","B00004T1WX","B00004T1WZ","B00004TB3J","B00004TDL2","B00004TDN2","B00004TDN5","B00004TDPP","B00004TDWY","B00004TE75","B00004TEN2","B00004TH2W","B00004TH2Y","B00004THCX","B00004THCY","B00004THCZ","B00004THDE","B00004THM6"
"0","0","0","0","0","0","0","3","0","5","5","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","5","0","0","0","5","0","0","0","0","5","0","0","4","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","5","0","0","0","0","4","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","5","5","0","0","0","5","0","5","4","0","0","0","0","0","0","0","0","0","0","0"
"2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","5","0","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","4","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","4","0","0","0","5","4","0","0","0","0","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","4","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","5","0","0","0","5","5","0","0","0","0","0","0","0","0","0","5","0","0","0","0","5","0","0","5","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","5","0","0","0","0","0","0"
"4","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","3","0","0","0","0","0","4","0","0","0","0","0","0","5","0","0","4","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","5","0","0","0","5","5","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","5","0","4","4","5","5","0","0","0","5","0","3","0","0","0","5","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","5","0","5","0","4","4","4","0","5","5","0","0","0","0","0","0","5","0","0","0","0","5","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","3","0","0","0","0","5","5","0","4","0","0","0","5","0"
"5","0","0","0","0","0","0","0","0","0","0","5","0","0","0","5","0","0","0","0","0","0","5","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","0","5","5","0","5","0","0","0","0","0","0","0","0","0","0","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6","0","0","0","0","0","0","0","0","0","0","2","0","3","1","0","0","5","0","0","4","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","5","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","3","0","0","0","2","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","5","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","4","0","5","0","0","0","0","0","0","0","0","0","5","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","3","4","3","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","3","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","5","5","5","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9","1","0","0","0","4","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","5","1","0","0","0","5","5","0","5","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","4","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0"
"10","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","4","4","4","4","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","4","5","3","0","0","0","0","0","0","3","0","0","0","4","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","3","0","0","0","0","0","0","0","0","3","4","4","5","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","3","4","0","4"
